country,sub_region,language_1,language_2,language_3,ign,team_role,igl,standings,team_name_full,shorthand,agent_1,agent_2,agent_3,maps,k,d,a,kd,kda,acs_per_map,k_per_map,d_per_map,a_per_map
Thailand,South East Asia,Thai,,,Poly,Support,False,2nd,Sisu,SISU,Fade,Gekko,Omen,21,272,273,157,0.99,1.57,174,12.9,13.0,7.4
Thailand,South East Asia,Thai,,,Pretzel,Anchor,False,13th-16th,FULL SENSE Pink,FS,Killjoy,Cypher,,5,61,70,32,0.87,1.32,144,12.2,14.0,6.4
Singapore,South East Asia,Mandarin,English,Malay,QiQi,Anchor,False,5th-6th,Cardboard Dinosaur,CBD,Killjoy,Cypher,,6,89,84,23,1.05,1.33,188,14.8,14.0,3.8
Japan,Japan,Japanese,,,R4M,Smoker,False,3rd,Reignite Lily,RIG,Omen,Brimstone,Viper,13,201,214,111,0.93,1.45,201,15.4,16.4,8.5
Singapore,South East Asia,Mandarin,English,Malay,Rice,Smoker,False,9th-12th,RIMA GC,RIMA,Omen,Gekko,Brimstone,9,124,118,86,1.05,1.77,194,13.7,13.1,9.5
Philippines,South East Asia,Filipino,English,,Rizzy,Entry,False,13th-16th,BAS.Kitsune,BAS.K,Killjoy,Raze,Reyna,4,49,67,19,0.73,1.01,200,12.2,16.7,4.7
Australia,Oceania,English,,,Rosa,Entry,False,1st,swaglord9000,SL9,Raze,Deadlock,Jett,9,142,99,40,1.43,1.83,236,15.7,11.0,4.4
India,South Asia,Hindi,English,,Rose,Flex,False,2nd,9to5 workers,N2F,Breach,Brimstone,,5,69,72,56,0.95,1.73,185,13.8,14.4,11.2
Thailand,South East Asia,Thai,,,Rudys,Support,False,9th-12th,LILITH,LL,Breach,Sova,Skye,6,56,76,50,0.73,1.39,151,9.3,12.6,8.3
Indonesia,South East Asia,Indonesian,,,Sampphire,Support,False,5th-6th,Cardboard Dinosaur,CBD,Breach,Sova,Gekko,14,197,197,99,1.0,1.5,186,14.0,14.0,7.0
Australia,Oceania,English,,,Sayo,Entry,False,5th-6th,Evergarden GC,EV,Neon,Raze,Clove,9,140,144,25,0.97,1.14,220,15.5,16.0,2.7
South Korea,Japan,Japanese,Korean,,SereNa,Anchor,False,1st,ZETA DIVISION GC,ZETA,Cypher,Killjoy,,11,165,146,55,1.13,1.5,214,15.0,13.2,5.0
Australia,Oceania,English,,,Shiny,Support,False,4th,Vixens (Australian team),VIX,Gekko,Fade,,12,185,165,82,1.12,1.61,222,15.4,13.7,6.8
Philippines,South East Asia,Filipino,English,,Shirazi,Smoker,False,1st,Xipto Esports,XIP,Viper,Omen,Cypher,14,226,124,83,1.82,2.49,252,16.1,8.8,5.9
Pakistan,South Asia,English,Urdu,,Skel,Support,False,3rd-4th,Gang Gang,GANG,Sova,Breach,,2,24,31,13,0.77,1.19,186,12.0,15.5,6.5
Singapore,South Asia,Mandarin,English,Malay,Snowwke,Entry,False,3rd-4th,Gang Gang,GANG,Raze,,,2,21,32,9,0.65,0.93,175,10.5,16.0,4.5
Australia,Oceania,English,,,Starly,Support,False,4th,Vixens (Australian team),VIX,Breach,Fade,KAY/O,12,165,171,90,0.96,1.49,203,13.7,14.2,7.5
