country,ign,team_name_full,shorthand,standings,role,agent_1,agent_2,agent_3,maps,k,d,a,kd,kda,acs_per_map,k_per_map,d_per_map,a_per_map,language_1,language_2,language_3
China,one1,ZFGaming,ZFG,9,Flash,Skye,Gekko,NaN,3,42,47,13,0.89,1.17,176,14,15.6,4.3,Mandarin,NaN,NaN
China,PPQueen,ZFGaming,ZFG,9,Anchor,Cypher,NaN,NaN,3,44,45,6,0.97,1.11,174,14.6,15,2,Mandarin,NaN,NaN
China,YaoBaiKe,ZFGaming,ZFG,9,Entry,Jett,Omen,NaN,3,42,49,12,0.85,1.1,172,14,16.3,4,Mandarin,NaN,NaN
China,FishQAQ,LanTu Gaming,LTG,13,Recon,Sova,Skye,Fade,3,30,47,14,0.63,0.93,168,10,15.6,4.6,Mandarin,NaN,NaN
China,BaiLanDi,I May,IMAY,13,Anchor,Cypher,NaN,NaN,2,19,34,5,0.55,0.7,167,9.5,17,2.5,Mandarin,NaN,NaN
China,shame,I May,IMAY,13,Recon,Skye,Sova,NaN,2,21,30,9,0.7,1,166,10.5,15,4.5,Mandarin,NaN,NaN
Taiwan,MrCANI,XLG Esports,XLG,1,Flash,Breach,Skye,Gekko,5,54,62,56,0.87,1.77,163,10.8,12.4,11.2,Mandarin,NaN,NaN
China,Coco,Chosen Clique Gaming,CCG,3,Smoker,Omen,NaN,NaN,3,38,40,27,0.95,1.62,158,12.6,13.3,9,Mandarin,NaN,NaN
China,Faraway,ZFGaming,ZFG,9,Entry,Raze,NaN,NaN,3,33,60,2,0.55,0.58,158,11,20,0.6,Mandarin,NaN,NaN
China,Deep9,Chosen Clique Gaming,CCG,3,Smoker,Omen,NaN,NaN,1,13,19,9,0.68,1.15,155,13,19,9,Mandarin,NaN,NaN
China,JuSangBaBaRen,1one,ONE,9,Anchor,Cypher,Breach,NaN,4,46,65,19,0.7,1,153,11.5,16.2,4.7,Mandarin,NaN,NaN
China,DC,Tpx,TPX,13,Smoker,Omen,Viper,NaN,3,33,50,31,0.66,1.28,151,11,16.6,10.3,Mandarin,NaN,NaN
China,waituu,Xtreme Gaming,XG,9,Flash,Gekko,Breach,NaN,4,47,69,28,0.68,1.08,145,11.7,17.2,7,Mandarin,NaN,NaN
China,XiaoBao,1one,ONE,9,Flash,Gekko,Raze,Sova,4,36,66,27,0.54,0.95,145,9,16.5,6.7,Mandarin,NaN,NaN
China,S1n,Xtreme Gaming,XG,9,Smoker,Sova,Brimstone,Omen,4,40,69,35,0.57,1.08,144,10,17.2,8.7,Mandarin,NaN,NaN
China,Cykk,LanTu Gaming,LTG,13,Entry,Raze,NaN,NaN,3,26,51,7,0.5,0.64,142,8.6,17,2.3,Mandarin,NaN,NaN
China,YU,I May,IMAY,13,Entry,Raze,Jett,NaN,2,16,32,4,0.5,0.62,136,8,16,2,Mandarin,NaN,NaN
China,Jerry,LanTu Gaming,LTG,13,Anchor,Cypher,NaN,NaN,3,29,48,8,0.6,0.77,135,9.6,16,2.6,Mandarin,NaN,NaN
China,2cy,Octagonal Disposition Gaming,ODG,9,Recon,Skye,KAY/O,NaN,4,42,75,36,0.56,1.04,117,10.5,18.7,9,Mandarin,NaN,NaN
China,ropz,Lao Tou Le,LTL,13,Smoker,Brimstone,Fade,NaN,2,17,35,15,0.48,0.91,101,8.5,17.5,7.5,Mandarin,NaN,NaN
